title,company_era,developer,series,genre,subgenre,dimension,platform,platform_family,platform_type,release_year,region,sales,gross_revenue,critic_score,user_score,exclusivity_status,nintendo_relationship_era,japan_only
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,Tomb Raider,Action-Adventure,Third-Person Action / Platformer,3D,PS4,PlayStation,Home Console,2018.0,PAL,0.82,,80.0,,Multiplatform,N/A,False
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,Tomb Raider,Action-Adventure,Third-Person Action / Platformer,3D,Xbox One,Microsoft,Home Console,2018.0,JP,,,80.0,,Multiplatform,N/A,False
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,Tomb Raider,Action-Adventure,Third-Person Action / Platformer,3D,Xbox One,Microsoft,Home Console,2018.0,NA,0.46,,80.0,,Multiplatform,N/A,False
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,Tomb Raider,Action-Adventure,Third-Person Action / Platformer,3D,Xbox One,Microsoft,Home Console,2018.0,Other,0.07,,80.0,,Multiplatform,N/A,False
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,Tomb Raider,Action-Adventure,Third-Person Action / Platformer,3D,Xbox One,Microsoft,Home Console,2018.0,PAL,0.25,,80.0,,Multiplatform,N/A,False
Shoot,Enix,Naps Team,Standalone,Misc,,Unknown,PS1,PlayStation,Home Console,2002.0,JP,,,83.0,,Exclusive,N/A,False
Shoot,Enix,Naps Team,Standalone,Misc,,Unknown,PS1,PlayStation,Home Console,2002.0,NA,,,83.0,,Exclusive,N/A,False
Shoot,Enix,Naps Team,Standalone,Misc,,Unknown,PS1,PlayStation,Home Console,2002.0,Other,,,83.0,,Exclusive,N/A,False
Shoot,Enix,Naps Team,Standalone,Misc,,Unknown,PS1,PlayStation,Home Console,2002.0,PAL,,,83.0,,Exclusive,N/A,False
Sigma Harmonics,Square Enix,Square Enix,Standalone,Role-Playing,,Unknown,DS,Nintendo,Handheld,2008.0,JP,,,,,Exclusive,Post-Merger,False
Sigma Harmonics,Square Enix,Square Enix,Standalone,Role-Playing,,Unknown,DS,Nintendo,Handheld,2008.0,NA,,,,,Exclusive,Post-Merger,False
Sigma Harmonics,Square Enix,Square Enix,Standalone,Role-Playing,,Unknown,DS,Nintendo,Handheld,2008.0,Other,,,,,Exclusive,Post-Merger,False
Sigma Harmonics,Square Enix,Square Enix,Standalone,Role-Playing,,Unknown,DS,Nintendo,Handheld,2008.0,PAL,,,,,Exclusive,Post-Merger,False
Skateboard Madness Xtreme Edition,Square Enix,Phoenix Games,Standalone,Sports,,Unknown,PS2,PlayStation,Home Console,2007.0,JP,,,,,Exclusive,N/A,False
Skateboard Madness Xtreme Edition,Square Enix,Phoenix Games,Standalone,Sports,,Unknown,PS2,PlayStation,Home Console,2007.0,NA,,,,,Exclusive,N/A,False
Skateboard Madness Xtreme Edition,Square Enix,Phoenix Games,Standalone,Sports,,Unknown,PS2,PlayStation,Home Console,2007.0,Other,,,,,Exclusive,N/A,False
Skateboard Madness Xtreme Edition,Square Enix,Phoenix Games,Standalone,Sports,,Unknown,PS2,PlayStation,Home Console,2007.0,PAL,,,,,Exclusive,N/A,False
,Square Enix,Toys for Bob [ E ],Standalone,,,,3DS,,,,,,,,,Multiplatform,,False
,Square Enix,Toys for Bob [ E ],Standalone,,,,Kingdom Hearts χ,,,,,,,,,Multiplatform,,False
,Square Enix,Toys for Bob [ E ],Standalone,,,,PS3,,,,,,,,,Multiplatform,,False
,Square Enix,Toys for Bob [ E ],Standalone,,,,Wii,,,,,,,,,Multiplatform,,False
,Square Enix,Toys for Bob [ E ],Standalone,,,,Wii U,,,,,,,,,Multiplatform,,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,PC,PC,PC,2012.0,JP,4.55,,85.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,PC,PC,PC,2012.0,NA,4.55,,85.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,PC,PC,PC,2012.0,Other,4.55,,85.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,PC,PC,PC,2012.0,PAL,4.55,,85.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,PS3,PlayStation,Home Console,2012.0,JP,4.55,,81.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,PS3,PlayStation,Home Console,2012.0,NA,4.55,,81.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,PS3,PlayStation,Home Console,2012.0,Other,4.55,,81.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,PS3,PlayStation,Home Console,2012.0,PAL,4.55,,81.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,Xbox 360,Microsoft,Home Console,2012.0,JP,4.55,,79.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,Xbox 360,Microsoft,Home Console,2012.0,NA,4.55,,79.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,Xbox 360,Microsoft,Home Console,2012.0,Other,4.55,,79.0,,Multiplatform,N/A,False
Sleeping Dogs,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,Xbox 360,Microsoft,Home Console,2012.0,PAL,4.55,,79.0,,Multiplatform,N/A,False
Sleeping Dogs: Definitive Edition,Square Enix,United Front Games,Standalone,Action,,3D,PS4,PlayStation,Home Console,2014.0,JP,,,77.0,,Multiplatform,N/A,False
Sleeping Dogs: Definitive Edition,Square Enix,United Front Games,Standalone,Action,,3D,PS4,PlayStation,Home Console,2014.0,NA,0.16,,77.0,,Multiplatform,N/A,False
Sleeping Dogs: Definitive Edition,Square Enix,United Front Games,Standalone,Action,,3D,PS4,PlayStation,Home Console,2014.0,Other,0.07,,77.0,,Multiplatform,N/A,False
Sleeping Dogs: Definitive Edition,Square Enix,United Front Games,Standalone,Action,,3D,PS4,PlayStation,Home Console,2014.0,PAL,0.21,,77.0,,Multiplatform,N/A,False
Sleeping Dogs: Definitive Edition,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,Xbox One,Microsoft,Home Console,2014.0,JP,,,75.0,,Multiplatform,N/A,False
Sleeping Dogs: Definitive Edition,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,Xbox One,Microsoft,Home Console,2014.0,NA,0.1,,75.0,,Multiplatform,N/A,False
Sleeping Dogs: Definitive Edition,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,Xbox One,Microsoft,Home Console,2014.0,Other,0.02,,75.0,,Multiplatform,N/A,False
Sleeping Dogs: Definitive Edition,Square Enix,United Front Games,Standalone,Action-Adventure,,3D,Xbox One,Microsoft,Home Console,2014.0,PAL,0.09,,75.0,,Multiplatform,N/A,False
,Square Enix,Tose,Standalone,,,,3DS,,,,,,,,,Multiplatform,,False
Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,Square Enix,Square Enix,Dragon Quest,Role-Playing,Turn-Based RPG,Unknown,3DS,Nintendo,Handheld,2011.0,JP,0.13,,,,Exclusive,Post-Merger,True
Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,Square Enix,Square Enix,Dragon Quest,Role-Playing,Turn-Based RPG,Unknown,3DS,Nintendo,Handheld,2011.0,NA,,,,,Exclusive,Post-Merger,True
Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,Square Enix,Square Enix,Dragon Quest,Role-Playing,Turn-Based RPG,Unknown,3DS,Nintendo,Handheld,2011.0,Other,,,,,Exclusive,Post-Merger,True
Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,Square Enix,Square Enix,Dragon Quest,Role-Playing,Turn-Based RPG,Unknown,3DS,Nintendo,Handheld,2011.0,PAL,,,,,Exclusive,Post-Merger,True
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,Square Enix,TOSE Software,Dragon Quest,Adventure,Turn-Based RPG,Unknown,GBA,Nintendo,Handheld,2003.0,JP,0.36,,,,Exclusive,Post-Merger,True
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,Square Enix,TOSE Software,Dragon Quest,Adventure,Turn-Based RPG,Unknown,GBA,Nintendo,Handheld,2003.0,NA,,,,,Exclusive,Post-Merger,True
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,Square Enix,TOSE Software,Dragon Quest,Adventure,Turn-Based RPG,Unknown,GBA,Nintendo,Handheld,2003.0,Other,0.01,,,,Exclusive,Post-Merger,True
